name,url,notes,dateScraped,phone,saleOrRent
,https://www.gumtree.com.au/s-ad/epsom/land-for-sale/639m-elevated-block-bendigo-/1113848856,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/pinkenba/land-for-sale/l-244-l-243-l-394-l-265-266/1114057195,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/armadale/land-for-sale/cheap-land-for-sale-457sqm/1105783193,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/kilsyth-south/land-for-sale/private-lake-view-lake-charm/1114049571,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/booragoon/land-for-sale/432sqm-vacant-titled-land-banjup-calleya-estate-reduced-to-sell/1114038468,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/port-augusta/land-for-sale/prime-land/1114032816,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/albany/land-for-sale/block-of-land/1114029112,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/austins-ferry/land-for-sale/austins-ferry-106-sunshine-rd/1108518345,,2016-05-27 17:35:31.197000,,sale
,No URL,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/brisbane-city/land-for-sale/vacant-freeold-land-at-drasa-lautoka-fiji/1114020615,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/westcourt/land-for-sale/land-in-edmonton-for-sales/1114020089,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/bassendean/land-for-sale/ashfield-block/1114019506,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/gympie/land-for-sale/the-quiet-life-/1114018937,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/victor-harbor/land-for-sale/800-m2-block-of-land-at-cape-jervis-sa-walk-to-the-beach/1114017798,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/sunshine-coast-region/land-for-sale/coastal-hinterland-weekender-/1114017656,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/cranbourne-west/land-for-sale/urgent-sale/1114017417,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/gin-gin/land-for-sale/land-for-sale-gin-gin-queensland/1114015466,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/broughton/land-for-sale/vacant-land/1114014020,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/broughton/land-for-sale/vacant-land-for-sale/1114013690,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/orbost/land-for-sale/3-4-acre-land/1114009816,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/balcatta/land-for-sale/block-with-jetty/1114002248,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/booie/land-for-sale/secluded-hideway-40acres-kingaroy-area/1113994580,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/temora/land-for-sale/7-blocks-of-land-1-750-acres-in-nsw-yes-all-7-blocks-for-29-000/1108694738,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/tarneit/land-for-sale/land-for-sale-in-tarneit-800-meter-from-station-great-location-/1113998589,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/tanunda/land-for-sale/two-residential-blocks-of-land-at-mount-mary/1113996548,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/cabramatta/land-for-sale/nail-massage-beauty-shop-for-sale/1113996416,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/kotara/land-for-sale/development-site/1113987094,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/mernda/land-for-sale/land-for-sale-lot-815-cravens-rd-mernda-vic-3754-/1113996243,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/coogee/land-for-sale/north-coogee-vacant-land/1113993964,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/south-morang/land-for-sale/land-plots-for-sale-in-wollert-and-south-morang/1113984242,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/lennox-head/land-for-sale/lot-9-fox-valley-way-lennox-head/1113981871,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/newstead/land-for-sale/looking-to-buy-house/1113981196,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/viveash/land-for-sale/809sqm-block-ready-for-your-new-home-6-cranwood-cres-viveash/1113974054,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/white-hills/land-for-sale/639m-elevated-block-bendigo/1113972468,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/south-gippsland/land-for-sale/prime-land-vicars-estate-wonthaggi/1113968023,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/tamworth/land-for-sale/33-acres-nundle/1113969578,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/canning-vale/land-for-sale/vacant-land/1113967690,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/ballina/land-for-sale/level-building-block-14-thomas-st-coraki/1113952758,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/sydney-city/land-for-sale/wyangala-dam-40-acres/1113973812,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/virginia/land-for-sale/land-for-sale/1113973230,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/tarneit/land-for-sale/land-for-sale/1113970643,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/newstead/land-for-sale/23-eldonhurst-drive-newstead/1113911631,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/bonner/land-for-sale/land-in-moncrieff-for-sale-flat-block-ready-to-build/1113905732,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/kellerberrin/land-for-sale/vacant-land-for-sale-kellerberrin-956m2-approx-/1113902577,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/isis-central/land-for-sale/178-acres-ready-to-build-on/1113961741,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/mossman/land-for-sale/shed-and-land-rocky-point-north-mossman/1113009911,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/blayney/land-for-sale/perfect-hobby-farm/1113957237,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/goomeri/land-for-sale/looking-for-land/1113952738,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/albury/land-for-sale/bush-block-burrowye-keotong-chicks-tract/1113949158,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/gretna/land-for-sale/cheap-land-approx-13-acres-in-gretna-derwent-valley-/1113947654,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/port-macquarie/land-for-sale/a-small-farm-by-the-water-/1113946082,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/donnybrook/land-for-sale/2079m2-block-in-prime-location/1113942100,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/piesseville/land-for-sale/rural-farm-lands/1107996982,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/benowa/land-for-sale/lawn-mowing/1113939807,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/beermullah/land-for-sale/development-site-for-sale-approved-for-4-unit-villas/1113936008,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/fairview-park/land-for-sale/prime-land-for-sale-2-allotments/1113935750,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/werribee/land-for-sale/urgent-cheap-land-in-manor-lakes/1113933902,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/sunbury/land-for-sale/looking-for-land-in-echuca-/1113932917,,2016-05-27 17:35:31.197000,,sale
,https://www.gumtree.com.au/s-ad/thornlands/land-for-sale/lot-81-newport-place-thornlands-esperance-estate/1113931476,,2016-05-27 17:35:31.197000,,sale
